Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
No,42,Non-Travel,926,R & D,21,College,Medical,1,1668,High,Female,36,High,MidLevel,Manufacturing Director,High,Divorced,5265,16439,2,No,16,Excellent,Medium,80,<100ESOPShares,11,5,Better,5,3,0,2
No,38,Travel_Rarely,1261,R & D,2,Master,Life Sciences,1,1669,Very High,Male,88,High,MidLevel,Manufacturing Director,High,Married,6553,7259,9,No,14,Excellent,Medium,80,NoStockOption,14,3,Better,1,0,0,0
No,38,Travel_Rarely,1084,R & D,29,Bachelor,Technical Degree,1,1670,Very High,Male,54,High,MidLevel,Manufacturing Director,Very High,Married,6261,4185,3,No,18,Excellent,Low,80,<100ESOPShares,9,3,Bad,7,7,1,7
No,27,Travel_Frequently,472,R & D,1,Below College,Technical Degree,1,1671,High,Male,60,Medium,MidLevel,Manufacturing Director,Low,Married,4298,9679,5,No,19,Excellent,High,80,<100ESOPShares,6,1,Better,2,2,2,0
No,49,Non-Travel,1002,R & D,18,Master,Life Sciences,1,1672,Very High,Male,92,High,MidLevel,Manufacturing Director,Very High,Divorced,6804,23793,1,Yes,15,Excellent,Low,80,100-500ESOPShares,7,0,Better,7,7,1,7
No,34,Travel_Frequently,878,R & D,10,Master,Medical,1,1673,Very High,Male,43,High,JuniorLevel,Research Scientist,High,Divorced,3815,5972,1,Yes,17,Excellent,Very High,80,<100ESOPShares,5,4,Best,5,3,2,0
No,40,Travel_Rarely,905,R & D,19,College,Medical,1,1674,High,Male,99,High,MidLevel,Laboratory Technician,Very High,Married,2741,16523,8,Yes,15,Excellent,High,80,<100ESOPShares,15,2,Best,7,2,3,7
Yes,38,Travel_Rarely,1180,R & D,29,Below College,Medical,1,1675,Medium,Male,70,High,MidLevel,Healthcare Representative,Low,Married,6673,11354,7,Yes,19,Excellent,Medium,80,NoStockOption,17,2,Better,1,0,0,0
Yes,29,Travel_Rarely,121,Sales,27,Bachelor,Marketing,1,1676,Medium,Female,35,High,SeniorLevelL1,Sales Executive,Very High,Married,7639,24525,1,No,22,Outstanding,Very High,80,>500ESOPShares,10,3,Good,10,4,1,9
No,22,Travel_Rarely,1136,R & D,5,Bachelor,Life Sciences,1,1677,Very High,Male,60,Very High,JuniorLevel,Research Scientist,Medium,Divorced,2328,12392,1,Yes,16,Excellent,Low,80,<100ESOPShares,4,2,Good,4,2,2,2
No,36,Travel_Frequently,635,R & D,18,Below College,Medical,1,1678,Medium,Female,73,High,JuniorLevel,Laboratory Technician,Very High,Single,2153,7703,1,No,13,Excellent,Low,80,NoStockOption,8,2,Better,8,1,1,7
No,40,Non-Travel,1151,R & D,9,Doctor,Life Sciences,1,1679,Very High,Male,63,Medium,MidLevel,Healthcare Representative,Very High,Married,4876,14242,9,No,14,Excellent,Very High,80,<100ESOPShares,5,5,Bad,3,2,0,2
No,46,Travel_Rarely,644,R & D,1,Master,Medical,1,1680,Very High,Male,97,High,SeniorLevelL1,Healthcare Representative,Low,Divorced,9396,12368,7,No,16,Excellent,High,80,<100ESOPShares,17,3,Better,4,2,0,3
Yes,32,Travel_Rarely,1045,Sales,4,Master,Medical,1,1681,Very High,Male,32,Low,SeniorLevelL1,Sales Executive,Very High,Married,10400,25812,1,No,11,Excellent,High,80,NoStockOption,14,2,Good,14,8,9,8
No,30,Non-Travel,829,R & D,1,Below College,Life Sciences,1,1682,High,Male,88,Medium,SeniorLevelL1,Manufacturing Director,High,Single,8474,20925,1,No,22,Outstanding,High,80,NoStockOption,12,2,Better,11,8,5,8
No,27,Travel_Frequently,1242,Sales,20,Bachelor,Life Sciences,1,1683,Very High,Female,90,High,MidLevel,Sales Executive,High,Single,9981,12916,1,No,14,Excellent,Very High,80,NoStockOption,7,2,Better,7,7,0,7
No,51,Travel_Rarely,1469,R & D,8,Master,Life Sciences,1,1684,Medium,Male,81,Medium,SeniorLevelL1,Research Director,Medium,Married,12490,15736,5,No,16,Excellent,Very High,80,100-500ESOPShares,16,5,Bad,10,9,4,7
Yes,30,Travel_Rarely,1005,R & D,3,Bachelor,Technical Degree,1,1685,Very High,Female,88,High,JuniorLevel,Research Scientist,Low,Single,2657,8556,5,Yes,11,Excellent,High,80,NoStockOption,8,5,Better,5,2,0,4
No,41,Travel_Rarely,896,Sales,6,Bachelor,Life Sciences,1,1686,Very High,Female,75,High,SeniorLevelL1,Manager,Very High,Single,13591,14674,3,Yes,18,Excellent,High,80,NoStockOption,16,3,Better,1,0,0,0
Yes,30,Travel_Frequently,334,Sales,26,Master,Marketing,1,1687,High,Female,52,Medium,MidLevel,Sales Executive,Low,Single,6696,22967,5,No,15,Excellent,High,80,NoStockOption,9,5,Good,6,3,0,1
Yes,29,Travel_Rarely,992,R & D,1,Bachelor,Technical Degree,1,1688,High,Male,85,High,JuniorLevel,Research Scientist,High,Single,2058,19757,0,No,14,Excellent,Very High,80,NoStockOption,7,1,Good,6,2,1,5
No,45,Non-Travel,1052,Sales,6,Bachelor,Medical,1,1689,Very High,Female,57,Medium,SeniorLevelL1,Sales Executive,Very High,Single,8865,16840,6,No,12,Excellent,Very High,80,NoStockOption,23,2,Better,19,7,12,8
No,54,Travel_Rarely,1147,Sales,3,Bachelor,Marketing,1,1690,Very High,Female,52,High,MidLevel,Sales Executive,Low,Married,5940,17011,2,No,14,Excellent,Very High,80,<100ESOPShares,16,4,Better,6,2,0,5
No,36,Travel_Rarely,1396,R & D,5,College,Life Sciences,1,1691,Very High,Male,62,High,MidLevel,Laboratory Technician,Medium,Single,5914,9945,8,No,16,Excellent,Very High,80,NoStockOption,16,3,Best,13,11,3,7
No,33,Travel_Rarely,147,R & D,4,Master,Medical,1,1692,High,Female,47,Medium,JuniorLevel,Research Scientist,Medium,Married,2622,13248,6,No,21,Outstanding,Very High,80,NoStockOption,7,3,Better,3,2,1,1
No,37,Travel_Frequently,663,R & D,11,Bachelor,Other,1,1693,Medium,Male,47,High,SeniorLevelL1,Research Director,Very High,Divorced,12185,10056,1,Yes,14,Excellent,High,80,>500ESOPShares,10,1,Better,10,8,0,7
No,38,Travel_Rarely,119,Sales,3,Bachelor,Life Sciences,1,1694,Low,Male,76,High,SeniorLevelL1,Sales Executive,High,Divorced,10609,9647,0,No,12,Excellent,High,80,100-500ESOPShares,17,6,Good,16,10,5,13
No,31,Non-Travel,979,R & D,1,Master,Medical,1,1695,High,Male,90,Low,MidLevel,Manufacturing Director,High,Married,4345,4381,0,No,12,Excellent,Very High,80,<100ESOPShares,6,2,Better,5,4,1,4
No,59,Travel_Rarely,142,R & D,3,Bachelor,Life Sciences,1,1696,High,Male,70,Medium,JuniorLevel,Research Scientist,Very High,Married,2177,8456,3,No,17,Excellent,Low,80,<100ESOPShares,7,6,Better,1,0,0,0
No,37,Travel_Frequently,319,Sales,4,Master,Marketing,1,1697,Low,Male,41,High,JuniorLevel,Sales Representative,Very High,Divorced,2793,2539,4,No,17,Excellent,High,80,<100ESOPShares,13,2,Better,9,8,5,8
No,29,Travel_Frequently,1413,Sales,1,Below College,Medical,1,1698,Medium,Female,42,High,SeniorLevelL1,Sales Executive,Very High,Married,7918,6599,1,No,14,Excellent,Very High,80,<100ESOPShares,11,5,Better,11,10,4,1
No,35,Travel_Frequently,944,Sales,1,Bachelor,Marketing,1,1699,High,Female,92,High,SeniorLevelL1,Sales Executive,High,Single,8789,9096,1,No,14,Excellent,Low,80,NoStockOption,10,3,Best,10,7,0,8
Yes,29,Travel_Rarely,896,R & D,18,Below College,Medical,1,1700,High,Male,86,Medium,JuniorLevel,Research Scientist,Very High,Single,2389,14961,1,Yes,13,Excellent,High,80,NoStockOption,4,3,Good,4,3,0,1
No,52,Travel_Rarely,1323,R & D,2,Bachelor,Life Sciences,1,1701,High,Female,89,Medium,JuniorLevel,Laboratory Technician,Very High,Single,3212,3300,7,No,15,Excellent,Medium,80,NoStockOption,6,3,Good,2,2,2,2
No,42,Travel_Rarely,532,R & D,4,College,Technical Degree,1,1702,High,Male,58,High,SeniorLevelL3,Manager,Very High,Married,19232,4933,1,No,11,Excellent,Very High,80,NoStockOption,22,3,Better,22,17,11,15
No,59,Travel_Rarely,818,Human Resources,6,College,Medical,1,1703,Medium,Male,52,High,JuniorLevel,Human Resources,High,Married,2267,25657,8,No,17,Excellent,Very High,80,NoStockOption,7,2,Good,2,2,2,2
No,50,Travel_Rarely,854,Sales,1,Master,Medical,1,1704,Very High,Female,68,High,SeniorLevelL3,Manager,Very High,Divorced,19517,24118,3,No,11,Excellent,High,80,<100ESOPShares,32,3,Good,7,0,0,6
Yes,33,Travel_Rarely,813,R & D,14,Bachelor,Medical,1,1705,High,Male,58,High,JuniorLevel,Laboratory Technician,Very High,Married,2436,22149,5,Yes,13,Excellent,High,80,<100ESOPShares,8,2,Bad,5,4,0,4
No,43,Travel_Rarely,1034,Sales,16,Bachelor,Marketing,1,1706,Very High,Female,80,High,SeniorLevelL2,Manager,Very High,Married,16064,7744,5,Yes,22,Outstanding,High,80,<100ESOPShares,22,3,Better,17,13,1,9
Yes,33,Travel_Rarely,465,R & D,2,College,Life Sciences,1,1707,Low,Female,39,High,JuniorLevel,Laboratory Technician,Low,Married,2707,21509,7,No,20,Outstanding,Low,80,NoStockOption,13,3,Best,9,7,1,7
No,52,Non-Travel,771,Sales,2,Master,Life Sciences,1,1708,Low,Male,79,Medium,SeniorLevelL3,Manager,High,Single,19068,21030,1,Yes,18,Excellent,Very High,80,NoStockOption,33,2,Best,33,7,15,12
No,32,Travel_Rarely,1401,Sales,4,College,Life Sciences,1,1709,High,Female,56,High,JuniorLevel,Sales Representative,Medium,Married,3931,20990,2,No,11,Excellent,Low,80,<100ESOPShares,6,5,Better,4,3,1,2
Yes,32,Travel_Rarely,515,R & D,1,Bachelor,Life Sciences,1,1710,Very High,Male,62,Medium,JuniorLevel,Laboratory Technician,High,Single,3730,9571,0,Yes,14,Excellent,Very High,80,NoStockOption,4,2,Bad,3,2,1,2
No,39,Travel_Rarely,1431,R & D,1,Master,Medical,1,1711,High,Female,96,High,JuniorLevel,Laboratory Technician,High,Divorced,2232,15417,7,No,14,Excellent,High,80,>500ESOPShares,7,1,Better,3,2,1,2
No,32,Non-Travel,976,Sales,26,Master,Marketing,1,1712,High,Male,100,High,MidLevel,Sales Executive,Very High,Married,4465,12069,0,No,18,Excellent,Low,80,NoStockOption,4,2,Better,3,2,2,2
No,41,Travel_Rarely,1411,R & D,19,College,Life Sciences,1,1713,High,Male,36,High,MidLevel,Research Scientist,Low,Divorced,3072,19877,2,No,16,Excellent,Low,80,100-500ESOPShares,17,2,Good,1,0,0,0
No,40,Travel_Rarely,1300,R & D,24,College,Technical Degree,1,1714,Low,Male,62,High,MidLevel,Research Scientist,Very High,Divorced,3319,24447,1,No,17,Excellent,Low,80,100-500ESOPShares,9,3,Better,9,8,4,7
No,45,Travel_Rarely,252,R & D,1,Bachelor,Other,1,1715,High,Male,70,Very High,SeniorLevelL3,Manager,Very High,Married,19202,15970,0,No,11,Excellent,High,80,<100ESOPShares,25,2,Better,24,0,1,7
No,31,Travel_Frequently,1327,R & D,3,Master,Medical,1,1716,Medium,Male,73,High,SeniorLevelL1,Research Director,High,Divorced,13675,13523,9,No,12,Excellent,Low,80,<100ESOPShares,9,3,Better,2,2,2,2
No,33,Travel_Rarely,832,R & D,5,Master,Life Sciences,1,1717,High,Female,63,Medium,JuniorLevel,Research Scientist,Very High,Married,2911,14776,1,No,13,Excellent,High,80,<100ESOPShares,2,2,Good,2,2,0,2
No,34,Travel_Rarely,470,R & D,2,Master,Life Sciences,1,1718,Very High,Male,84,Medium,MidLevel,Manufacturing Director,Low,Married,5957,23687,6,No,13,Excellent,Medium,80,<100ESOPShares,13,3,Better,11,9,5,9
No,37,Travel_Rarely,1017,R & D,1,College,Medical,1,1719,High,Female,83,Medium,JuniorLevel,Research Scientist,Low,Married,3920,18697,2,No,14,Excellent,Low,80,<100ESOPShares,17,2,Good,3,1,0,2
No,45,Travel_Frequently,1199,R & D,7,Master,Life Sciences,1,1720,Low,Male,77,Very High,MidLevel,Manufacturing Director,High,Married,6434,5118,4,No,17,Excellent,Very High,80,<100ESOPShares,9,1,Better,3,2,0,2
Yes,37,Travel_Frequently,504,R & D,10,Bachelor,Medical,1,1721,Low,Male,61,High,SeniorLevelL1,Manufacturing Director,High,Divorced,10048,22573,6,No,11,Excellent,Medium,80,100-500ESOPShares,17,5,Better,1,0,0,0
No,39,Travel_Frequently,505,R & D,2,Master,Technical Degree,1,1722,High,Female,64,High,SeniorLevelL1,Healthcare Representative,High,Single,10938,6420,0,No,25,Outstanding,Very High,80,NoStockOption,20,1,Better,19,6,11,8
No,29,Travel_Rarely,665,R & D,15,Bachelor,Life Sciences,1,1723,High,Male,60,High,JuniorLevel,Research Scientist,Very High,Single,2340,22673,1,No,19,Excellent,Low,80,NoStockOption,6,1,Better,6,5,1,5
No,42,Travel_Rarely,916,R & D,17,College,Life Sciences,1,1724,Very High,Female,82,Very High,MidLevel,Research Scientist,Low,Single,6545,23016,3,Yes,13,Excellent,High,80,NoStockOption,10,1,Better,3,2,0,2
No,29,Travel_Rarely,1247,Sales,20,College,Marketing,1,1725,Very High,Male,45,High,MidLevel,Sales Executive,Very High,Divorced,6931,10732,2,No,14,Excellent,Very High,80,<100ESOPShares,10,2,Better,3,2,0,2
No,25,Travel_Rarely,685,R & D,1,Bachelor,Life Sciences,1,1726,Low,Female,62,High,MidLevel,Manufacturing Director,High,Married,4898,7505,0,No,12,Excellent,Very High,80,100-500ESOPShares,5,3,Better,4,2,1,2
No,42,Travel_Rarely,269,R & D,2,Bachelor,Medical,1,1727,Very High,Female,56,Medium,JuniorLevel,Laboratory Technician,Low,Divorced,2593,8007,0,Yes,11,Excellent,High,80,<100ESOPShares,10,4,Better,9,6,7,8
No,40,Travel_Rarely,1416,R & D,2,College,Medical,1,1728,Low,Male,49,High,SeniorLevelL3,Research Director,High,Divorced,19436,5949,0,No,19,Excellent,Very High,80,<100ESOPShares,22,5,Better,21,7,3,9
No,51,Travel_Rarely,833,R & D,1,Bachelor,Life Sciences,1,1729,High,Male,96,High,JuniorLevel,Research Scientist,Very High,Married,2723,23231,1,No,11,Excellent,Medium,80,NoStockOption,1,0,Good,1,0,0,0
Yes,31,Travel_Frequently,307,R & D,29,College,Medical,1,1730,High,Male,71,Medium,JuniorLevel,Laboratory Technician,Medium,Single,3479,11652,0,No,11,Excellent,Medium,80,NoStockOption,6,2,Best,5,4,1,4
No,32,Travel_Frequently,1311,R & D,7,Bachelor,Life Sciences,1,1731,Medium,Male,100,Very High,JuniorLevel,Laboratory Technician,Medium,Married,2794,26062,1,No,20,Outstanding,High,80,NoStockOption,5,3,Bad,5,1,0,3
No,38,Non-Travel,1327,Sales,2,College,Life Sciences,1,1732,Very High,Male,39,Medium,MidLevel,Sales Executive,Very High,Married,5249,19682,3,No,18,Excellent,Very High,80,<100ESOPShares,13,0,Better,8,7,7,5
No,32,Travel_Rarely,128,R & D,2,Below College,Technical Degree,1,1733,Very High,Male,84,Medium,MidLevel,Laboratory Technician,Low,Single,2176,19737,4,No,13,Excellent,Very High,80,NoStockOption,9,5,Better,6,2,0,4
No,46,Travel_Rarely,488,Sales,2,Bachelor,Technical Degree,1,1734,High,Female,75,Low,SeniorLevelL2,Manager,Medium,Married,16872,14977,3,Yes,12,Excellent,Medium,80,<100ESOPShares,28,2,Good,7,7,7,7
Yes,28,Travel_Rarely,529,R & D,2,Master,Life Sciences,1,1735,Low,Male,79,High,JuniorLevel,Laboratory Technician,High,Single,3485,14935,2,No,11,Excellent,High,80,NoStockOption,5,5,Bad,0,0,0,0
No,29,Travel_Rarely,1210,Sales,2,Bachelor,Medical,1,1736,Low,Male,78,Medium,MidLevel,Sales Executive,Medium,Married,6644,3687,2,No,19,Excellent,Medium,80,100-500ESOPShares,10,2,Better,0,0,0,0
No,31,Travel_Rarely,1463,R & D,23,Bachelor,Medical,1,1737,Medium,Male,64,Medium,MidLevel,Healthcare Representative,Very High,Married,5582,14408,0,No,21,Outstanding,Medium,80,<100ESOPShares,10,2,Better,9,0,7,8
No,25,Non-Travel,675,R & D,5,College,Life Sciences,1,1738,Medium,Male,85,Very High,MidLevel,Healthcare Representative,Low,Divorced,4000,18384,1,No,12,Excellent,Very High,80,100-500ESOPShares,6,2,Better,6,3,1,5
No,45,Travel_Rarely,1385,R & D,20,College,Medical,1,1739,High,Male,79,High,SeniorLevelL2,Healthcare Representative,Very High,Married,13496,7501,0,Yes,14,Excellent,Medium,80,NoStockOption,21,2,Better,20,7,4,10
No,36,Travel_Rarely,1403,R & D,6,Bachelor,Life Sciences,1,1740,Very High,Male,47,High,JuniorLevel,Laboratory Technician,Very High,Married,3210,20251,0,No,11,Excellent,High,80,<100ESOPShares,16,4,Better,15,13,10,11
No,55,Travel_Rarely,452,R & D,1,Bachelor,Medical,1,1741,Very High,Male,81,High,SeniorLevelL3,Manager,Low,Single,19045,18938,0,Yes,14,Excellent,High,80,NoStockOption,37,2,Better,36,10,4,13
Yes,47,Non-Travel,666,R & D,29,Master,Life Sciences,1,1742,Low,Male,88,High,SeniorLevelL1,Manager,Medium,Married,11849,10268,1,Yes,12,Excellent,Very High,80,<100ESOPShares,10,2,Good,10,7,9,9
No,28,Travel_Rarely,1158,R & D,9,Bachelor,Medical,1,1743,Very High,Male,94,High,JuniorLevel,Research Scientist,Very High,Married,2070,2613,1,No,23,Outstanding,Very High,80,<100ESOPShares,5,3,Good,5,2,0,4
No,37,Travel_Rarely,228,Sales,6,Master,Medical,1,1744,High,Male,98,High,MidLevel,Sales Executive,Very High,Married,6502,22825,4,No,14,Excellent,Medium,80,<100ESOPShares,7,5,Best,5,4,0,1
No,21,Travel_Rarely,996,R & D,3,College,Medical,1,1745,Very High,Male,100,Medium,JuniorLevel,Research Scientist,High,Single,3230,10531,1,No,17,Excellent,Low,80,NoStockOption,3,4,Best,3,2,1,0
No,37,Non-Travel,728,R & D,1,Master,Medical,1,1746,Low,Female,80,High,SeniorLevelL1,Research Director,Very High,Divorced,13603,11677,2,Yes,18,Excellent,Low,80,100-500ESOPShares,15,2,Better,5,2,0,2
No,35,Travel_Rarely,1315,R & D,22,Bachelor,Life Sciences,1,1747,Medium,Female,71,Very High,SeniorLevelL1,Manager,Medium,Divorced,11996,19100,7,No,18,Excellent,Medium,80,<100ESOPShares,10,6,Good,7,7,6,2
No,38,Travel_Rarely,322,Sales,7,College,Medical,1,1748,Low,Female,44,Very High,MidLevel,Sales Executive,Low,Divorced,5605,19191,1,Yes,24,Outstanding,High,80,<100ESOPShares,8,3,Better,8,0,7,7
No,26,Travel_Frequently,1479,R & D,1,Bachelor,Life Sciences,1,1749,High,Female,84,High,MidLevel,Manufacturing Director,Medium,Divorced,6397,26767,1,No,20,Outstanding,Low,80,<100ESOPShares,6,6,Bad,6,5,1,4
No,50,Travel_Rarely,797,R & D,4,Below College,Life Sciences,1,1750,Low,Male,96,High,SeniorLevelL3,Research Director,Medium,Divorced,19144,15815,3,No,14,Excellent,Low,80,100-500ESOPShares,28,4,Good,10,4,1,6
No,53,Travel_Rarely,1070,R & D,3,Master,Medical,1,1751,High,Male,45,High,SeniorLevelL2,Research Director,High,Married,17584,21016,3,Yes,16,Excellent,Very High,80,>500ESOPShares,21,5,Good,5,3,1,3
No,42,Travel_Rarely,635,Sales,1,Below College,Life Sciences,1,1752,Medium,Male,99,High,MidLevel,Sales Executive,High,Married,4907,24532,1,No,25,Outstanding,High,80,NoStockOption,20,3,Better,20,16,11,6
No,29,Travel_Frequently,442,Sales,2,College,Life Sciences,1,1753,Medium,Male,44,High,MidLevel,Sales Executive,Very High,Single,4554,20260,1,No,18,Excellent,Low,80,NoStockOption,10,3,Good,10,7,0,9
No,55,Travel_Rarely,147,R & D,20,College,Technical Degree,1,1754,Medium,Male,37,High,MidLevel,Laboratory Technician,Very High,Married,5415,15972,3,Yes,19,Excellent,Very High,80,<100ESOPShares,12,4,Better,10,7,0,8
No,26,Travel_Frequently,496,R & D,11,College,Medical,1,1755,Low,Male,60,High,MidLevel,Healthcare Representative,Low,Married,4741,22722,1,Yes,13,Excellent,High,80,<100ESOPShares,5,3,Better,5,3,3,3
No,37,Travel_Rarely,1372,R & D,1,Bachelor,Life Sciences,1,1756,Very High,Female,42,High,JuniorLevel,Research Scientist,Very High,Single,2115,15881,1,No,12,Excellent,Medium,80,NoStockOption,17,3,Better,17,12,5,7
Yes,44,Travel_Frequently,920,R & D,24,Bachelor,Life Sciences,1,1757,Very High,Male,43,High,JuniorLevel,Laboratory Technician,High,Divorced,3161,19920,3,Yes,22,Outstanding,Very High,80,<100ESOPShares,19,0,Bad,1,0,0,0
No,38,Travel_Rarely,688,R & D,23,Master,Life Sciences,1,1758,Very High,Male,82,High,MidLevel,Healthcare Representative,Very High,Divorced,5745,18899,9,No,14,Excellent,Medium,80,<100ESOPShares,10,2,Better,2,2,1,2
Yes,26,Travel_Rarely,1449,R & D,16,Master,Medical,1,1759,Low,Male,45,High,JuniorLevel,Laboratory Technician,Medium,Divorced,2373,14180,2,Yes,13,Excellent,Very High,80,<100ESOPShares,5,2,Better,3,2,0,2
No,28,Travel_Rarely,1117,R & D,8,College,Life Sciences,1,1760,Very High,Female,66,High,JuniorLevel,Research Scientist,Very High,Single,3310,4488,1,No,21,Outstanding,Very High,80,NoStockOption,5,3,Better,5,3,0,2
No,49,Travel_Frequently,636,R & D,10,Master,Life Sciences,1,1761,High,Female,35,High,SeniorLevelL3,Research Director,Low,Single,18665,25594,9,Yes,11,Excellent,Very High,80,NoStockOption,22,4,Better,3,2,1,2
No,36,Travel_Rarely,506,R & D,3,Bachelor,Technical Degree,1,1762,High,Male,30,High,MidLevel,Research Scientist,Medium,Single,4485,26285,4,No,12,Excellent,Very High,80,NoStockOption,10,2,Better,8,0,7,7
No,31,Travel_Frequently,444,Sales,5,Bachelor,Marketing,1,1763,Very High,Female,84,High,JuniorLevel,Sales Representative,Medium,Divorced,2789,3909,1,No,11,Excellent,High,80,<100ESOPShares,2,5,Good,2,2,2,2
Yes,26,Travel_Rarely,950,Sales,4,Master,Marketing,1,1764,Very High,Male,48,Medium,MidLevel,Sales Executive,Very High,Single,5828,8450,1,Yes,12,Excellent,Medium,80,NoStockOption,8,0,Better,8,7,7,4
No,37,Travel_Frequently,889,R & D,9,Bachelor,Medical,1,1765,Medium,Male,53,High,JuniorLevel,Research Scientist,Very High,Married,2326,11411,1,Yes,12,Excellent,High,80,>500ESOPShares,4,3,Good,4,2,1,2
No,42,Travel_Frequently,555,Sales,26,Bachelor,Marketing,1,1766,High,Female,77,High,SeniorLevelL2,Sales Executive,Medium,Married,13525,14864,5,No,14,Excellent,Very High,80,<100ESOPShares,23,2,Best,20,4,4,8
Yes,18,Travel_Rarely,230,R & D,3,Bachelor,Life Sciences,1,1767,High,Male,54,High,JuniorLevel,Laboratory Technician,High,Single,1420,25233,1,No,13,Excellent,High,80,NoStockOption,0,2,Better,0,0,0,0
No,35,Travel_Rarely,1232,Sales,16,Bachelor,Marketing,1,1768,High,Male,96,High,SeniorLevelL1,Sales Executive,Medium,Married,8020,5100,0,No,15,Excellent,High,80,100-500ESOPShares,12,3,Good,11,9,6,9
No,36,Travel_Frequently,566,R & D,18,Master,Life Sciences,1,1769,High,Male,81,Very High,JuniorLevel,Laboratory Technician,Very High,Married,3688,7122,4,No,18,Excellent,Very High,80,100-500ESOPShares,4,2,Better,1,0,0,0
No,51,Travel_Rarely,1302,R & D,2,Bachelor,Medical,1,1770,Very High,Male,84,Low,MidLevel,Manufacturing Director,Medium,Divorced,5482,16321,5,No,18,Excellent,Very High,80,<100ESOPShares,13,3,Better,4,1,1,2
No,41,Travel_Rarely,334,Sales,2,Master,Life Sciences,1,1771,Very High,Male,88,High,SeniorLevelL2,Manager,Medium,Single,16015,15896,1,No,19,Excellent,Medium,80,NoStockOption,22,2,Better,22,10,0,4
No,18,Travel_Rarely,812,Sales,10,Bachelor,Medical,1,1772,Very High,Female,69,Medium,JuniorLevel,Sales Representative,High,Single,1200,9724,1,No,12,Excellent,Low,80,NoStockOption,0,2,Better,0,0,0,0
No,28,Travel_Rarely,1476,R & D,16,College,Medical,1,1773,Medium,Male,68,Very High,MidLevel,Healthcare Representative,Low,Single,5661,4824,0,No,19,Excellent,High,80,NoStockOption,9,2,Better,8,3,0,7
No,31,Travel_Rarely,218,Sales,7,Bachelor,Technical Degree,1,1774,Medium,Male,100,Very High,MidLevel,Sales Executive,Very High,Married,6929,12241,4,No,11,Excellent,Medium,80,<100ESOPShares,10,3,Good,8,7,7,7
No,39,Travel_Rarely,1132,R & D,1,Bachelor,Medical,1,1775,High,Male,48,Very High,SeniorLevelL1,Healthcare Representative,Very High,Divorced,9613,10942,0,No,17,Excellent,Low,80,>500ESOPShares,19,5,Good,18,10,3,7
No,36,Non-Travel,1105,R & D,24,Master,Life Sciences,1,1776,Medium,Female,47,High,MidLevel,Laboratory Technician,Medium,Married,5674,6927,7,No,15,Excellent,High,80,<100ESOPShares,11,3,Better,9,8,0,8
No,32,Travel_Rarely,906,Sales,7,Bachelor,Life Sciences,1,1777,Very High,Male,91,Medium,MidLevel,Sales Executive,High,Married,5484,16985,1,No,14,Excellent,High,80,<100ESOPShares,13,3,Good,13,8,4,8
No,38,Travel_Rarely,849,R & D,25,College,Life Sciences,1,1778,Low,Female,81,Medium,SeniorLevelL1,Research Director,Medium,Married,12061,26707,3,No,17,Excellent,High,80,<100ESOPShares,19,2,Better,10,8,0,1
No,58,Non-Travel,390,R & D,1,Master,Life Sciences,1,1779,Very High,Male,32,Low,MidLevel,Healthcare Representative,High,Divorced,5660,17056,2,Yes,13,Excellent,Very High,80,<100ESOPShares,12,2,Better,5,3,1,2
No,31,Travel_Rarely,691,R & D,5,Master,Technical Degree,1,1780,High,Male,86,High,JuniorLevel,Research Scientist,Very High,Married,4821,10077,0,Yes,12,Excellent,High,80,<100ESOPShares,6,4,Better,5,2,0,3
No,31,Travel_Rarely,106,Human Resources,2,Bachelor,Human Resources,1,1781,Low,Male,62,Medium,MidLevel,Human Resources,Low,Married,6410,17822,3,No,12,Excellent,Very High,80,NoStockOption,9,1,Better,2,2,1,0
No,45,Travel_Frequently,1249,R & D,7,Bachelor,Life Sciences,1,1782,Low,Male,97,High,SeniorLevelL1,Laboratory Technician,Low,Divorced,5210,20308,1,No,18,Excellent,Low,80,<100ESOPShares,24,2,Better,24,9,9,11
No,31,Travel_Rarely,192,R & D,2,Master,Life Sciences,1,1783,High,Male,32,High,JuniorLevel,Research Scientist,Very High,Divorced,2695,7747,0,Yes,18,Excellent,Medium,80,<100ESOPShares,3,2,Bad,2,2,2,2
No,33,Travel_Frequently,553,R & D,5,Master,Life Sciences,1,1784,Very High,Female,74,High,SeniorLevelL1,Manager,Medium,Married,11878,23364,6,No,11,Excellent,Medium,80,100-500ESOPShares,12,2,Better,10,6,8,8
No,39,Travel_Rarely,117,R & D,10,Below College,Medical,1,1785,High,Male,99,High,SeniorLevelL2,Manager,Low,Married,17068,5355,1,Yes,14,Excellent,Very High,80,NoStockOption,21,3,Better,21,9,11,10
